Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
D8	6	87	HET	16.146406	-2.3577063
E7	7	103	HET	14.140468	-2.577596
F10	5	152	Null	12.245871	0.9061681
B3	6	79	WT	17.16239	4.000122
D4	9	102	WT	15.63216	0.75987947
F11	21	135	Null	14.374894	-0.23678271
C12	14	119	Null	15.626314	0.71608365
C10	17	125	Null	14.436564	1.7791903
D11	6	178	Null	16.46834	-1.4161259
E9	6	120	Null	14.826501	-1.9053152
B3	16	79	WT	12.565947	1.4261519
G12	6	121	Null	16.827381	0.4304266
E6	1	66	HET	14.137937	1.3158048
D11	16	178	Null	13.884132	-2.385579
F11	8	135	Null	14.228221	0.6426639
D9	7	135	Null	12.639398	0.98381525
E12	9	115	Null	16.617468	0.32902625
D2	13	98	WT	15.7405615	0.010893431
B2	2	97	WT	15.305577	1.7102497
E1	16	101	WT	15.724055	2.7787876
B9	12	173	Null	11.03867	-1.6484839
C3	1	117	WT	15.210954	-0.10058016
D7	9	83	HET	17.51362	0.46076307
F5	18	109	HET	12.734229	1.2458515
F11	17	135	Null	14.059986	-2.7143872
E12	16	115	Null	14.694515	2.8693347
E9	5	120	Null	15.884873	0.289464
C11	13	154	Null	12.905638	-0.9476807
B8	1	64	HET	16.522408	0.9329225
C8	18	85	HET	14.218541	-3.0801108
E9	8	120	Null	16.771406	-1.8139509
F5	16	109	HET	14.568517	-2.7542055
B4	20	112	WT	15.871939	-2.448919
D6	10	76	HET	16.915096	-1.1505555
C8	10	85	HET	16.827862	-2.2857955
D4	9	102	WT	17.532932	0.54546255
C7	5	100	HET	14.692689	-3.0554023
G3	3	121	WT	16.625008	1.2375335
C6	10	71	HET	14.691211	2.834825
G4	4	100	WT	13.418433	1.1373419
E7	8	103	HET	14.386424	-2.13354
E8	17	59	HET	16.903948	-1.8243558
B3	8	79	WT	15.7562685	2.6523447
F12	21	125	Null	16.019157	1.6216439
E2	4	102	WT	14.985589	-1.7877573
B1	15	79	WT	17.147812	-1.8740927
E7	11	103	HET	15.309268	-1.8788617
F10	14	152	Null	11.28285	-0.86710024
C4	2	104	WT	16.40127	2.0280738
F6	13	82	HET	13.945277	1.7754285
C3	1	117	WT	14.659466	-2.2361243
G1	7	72	WT	15.038292	2.935685
G3	8	121	WT	16.265062	1.7889966
G8	14	65	HET	14.058023	-0.15788646
B9	4	173	Null	14.70715	-1.4561193
G12	2	121	Null	17.47044	-0.9133833
E4	14	86	WT	14.087435	-0.4750172
E7	13	103	HET	14.048742	-0.0823658
B2	17	97	WT	14.721051	-2.0198324
F12	11	125	Null	14.330355	0.9177059
B12	5	148	Null	16.90768	2.1074412
G2	19	125	WT	12.619584	1.6976753
F10	6	152	Null	12.946908	0.7698512
C11	14	154	Null	14.8763	-1.6038437
D3	1	128	WT	16.316622	1.1737092
D7	19	83	HET	11.591249	1.1643707
B11	11	148	Null	15.165046	-3.0505462
B11	9	148	Null	16.400597	2.1711848
D8	20	87	HET	12.996713	-0.6737612
C9	9	156	Null	15.091823	-1.4977578
E3	15	122	WT	16.431139	1.7882684
D6	18	76	HET	15.063654	1.6892474
G4	21	100	WT	15.5279875	-0.16863988
C8	5	85	HET	15.091105	-2.948028
E3	13	122	WT	14.960232	2.514305
G11	4	129	Null	13.752939	-0.44151822
D7	15	83	HET	16.595118	2.5443168
C11	6	154	Null	14.318099	-1.6352631
B12	7	148	Null	15.331933	-2.8936055
E4	8	86	WT	16.808327	1.4333357
D4	20	102	WT	15.490482	-1.342542
D3	16	128	WT	17.23509	-0.7480093
F12	13	125	Null	15.770468	-2.178241
C2	1	137	WT	16.18736	2.7483282
D10	3	157	Null	16.273083	1.7502843
B7	20	78	HET	13.837351	2.6429372
B5	17	101	HET	13.750991	-1.6056477
F6	17	82	HET	13.605432	-2.0601277
F10	13	152	Null	12.207831	0.55840373
E2	16	102	WT	14.314361	-2.3235357
B11	1	148	Null	12.632391	0.73744744
G1	2	72	WT	15.833167	1.7947829
G7	16	94	HET	17.007704	2.889422
B5	17	101	HET	14.92528	0.49618357
G4	21	100	WT	14.91019	-0.48590466
B6	18	99	HET	13.435662	-1.0611975
E3	21	122	WT	16.571827	-0.0063741133
B6	1	99	HET	12.764219	-1.1623347
F6	1	82	HET	14.166727	-0.76125014
E7	17	103	HET	14.801422	-0.3532716
E11	12	185	Null	16.571356	0.426329
B11	1	148	Null	14.496456	0.54304725
D3	11	128	WT	14.938211	-3.099226
G12	20	121	Null	16.454496	0.16077882
F12	16	125	Null	15.663338	-1.0706536
B9	3	173	Null	17.259687	0.43341607
G9	10	149	Null	11.810911	-0.70102626
E8	16	59	HET	13.666427	2.1317716
E4	16	86	WT	15.217148	0.0847228
C2	13	137	WT	12.288125	-1.0325433
F11	6	135	Null	15.591495	1.4566222
E12	4	115	Null	15.676125	1.0244824
G5	9	61	HET	14.143085	-2.7492688
G12	14	121	Null	14.314013	-0.70494074
G5	18	61	HET	16.536638	2.1489916
C10	5	125	Null	17.385784	0.7115364
C6	4	71	HET	14.753403	-2.2966013
D3	8	128	WT	17.385351	-1.1182264
D11	20	178	Null	14.01475	2.515317
D7	21	83	HET	15.929371	0.49994996
E2	6	102	WT	14.359692	2.1647751
F5	19	109	HET	12.688347	0.09064975
B8	3	64	HET	17.196426	1.4506632
D10	14	157	Null	15.804399	-3.030694
C10	9	125	Null	16.540188	2.2754843
B8	16	64	HET	13.146284	0.24706279
C10	5	125	Null	14.694562	-2.9562159
B3	6	79	WT	17.157366	3.9875371
D11	4	178	Null	15.704967	1.3726673
D11	8	178	Null	13.454254	0.9623376
C2	10	137	WT	17.342598	0.41472536
C11	13	154	Null	14.802401	0.9736793
E3	9	122	WT	14.807101	2.2669725
D3	16	128	WT	16.29772	-2.2073474
C5	12	78	HET	14.872449	-0.3441517
B11	2	148	Null	14.584465	-0.27975783
D9	8	135	Null	15.548954	-1.4441267
D3	8	128	WT	17.058645	1.8600831
B9	9	173	Null	16.449278	-1.8445988
E11	1	185	Null	12.6826935	0.32587093
B3	18	79	WT	15.325078	1.4860495
B5	11	101	HET	13.410837	1.5874056
B1	7	79	WT	16.075907	2.0868864
C12	8	119	Null	17.05415	0.9598265
D9	7	135	Null	16.86107	-1.0122944
D3	9	128	WT	14.496118	0.24760538
F12	9	125	Null	16.170454	1.9909099
G9	2	149	Null	16.115118	0.2268106
E9	6	120	Null	14.743992	2.8763509
B6	10	99	HET	14.888652	-2.4828827
C3	2	117	WT	14.472067	-2.7903154
B8	6	64	HET	16.978601	-1.1110463
C11	14	154	Null	12.399305	-1.7544723
F3	20	92	WT	14.215125	2.8170424
E11	21	185	Null	15.967118	-1.1559802
E9	17	120	Null	16.133345	1.872649
F6	5	82	HET	15.310854	1.1961613
B7	10	78	HET	14.845772	0.7804647
B9	7	173	Null	15.79908	-0.037701484
B9	13	173	Null	14.837876	1.3438035
E12	11	115	Null	13.818718	-2.2749922
G5	5	61	HET	12.867358	-0.9499839
B8	9	64	HET	15.975994	-2.9979396
C9	7	156	Null	14.291515	2.442039
G10	13	129	Null	14.64199	1.6761616
D8	13	87	HET	14.130204	0.22493783
B2	11	97	WT	15.423514	-2.9354305
F4	2	94	WT	15.949384	-1.4015903
D11	5	178	Null	17.11856	1.8025547
F10	1	152	Null	14.078962	2.4536867
G5	11	61	HET	12.653422	0.48113608
G1	2	72	WT	15.773851	-1.8009063
C11	16	154	Null	16.48408	-2.0357769
D11	10	178	Null	12.865941	1.7260545
C8	16	85	HET	16.11203	-1.3547345
G3	10	121	WT	15.636482	1.8396149
D6	11	76	HET	17.244806	-1.4877769
G12	7	121	Null	15.234076	-1.0257818
C7	16	100	HET	13.598935	-0.87662745
D7	9	83	HET	14.803127	0.9783445
E9	9	120	Null	17.190413	-1.6072686
B6	14	99	HET	15.365619	-2.3897085
E4	12	86	WT	13.11027	0.043746945
B11	20	148	Null	16.017292	-0.5981909
G10	16	129	Null	12.864259	-0.64330757
E8	13	59	HET	15.086125	-2.656176
C4	6	104	WT	11.098774	-1.6314452
E12	8	115	Null	16.478714	1.312536
