Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
F12	10	647	Null	Plate_3	-2.4860246	5.1920786
C12	6	119	Null	Plate_5	1.2272538	3.211234
E5	6	53	HET	Plate_3_prime	-4.6035633	-0.5965574
B8	19	797	HET	Plate_3	-2.6041894	2.5907013
E4	13	86	WT	Plate_5	3.0487428	1.831442
B3	4	297	WT	Plate_3	0.5801765	-0.56125194
G10	21	129	Null	Plate_5	0.43249762	4.5873284
C12	3	570	Null	Plate_3	1.936429	3.8134787
B8	15	107	HET	Plate_3_prime	-1.0626049	3.226007
D3	12	305	WT	Plate_3	2.1288118	1.6448176
D4	8	636	WT	Plate_3	1.1660187	5.068878
C12	3	321	Null	Plate_3_prime	-0.9203266	3.7519937
D6	1	76	HET	Plate_5	1.1819193	-1.6662893
E8	13	705	HET	Plate_3	-0.7550253	0.9493779
F12	3	647	Null	Plate_3	-2.0698025	4.1337767
C1	13	33	WT	Plate_3_prime	2.9965594	4.4966316
C12	20	119	Null	Plate_5	-0.88679785	3.1822302
D4	3	636	WT	Plate_3	0.92245424	3.5432026
G7	15	226	HET	Plate_3	-0.07396029	3.928752
C8	24	628	HET	Plate_3	-2.2103424	3.986143
D1	11	47	WT	Plate_3_prime	2.124336	4.0214906
G11	10	250	Null	Plate_3	0.2157396	5.4806614
F9	25	71	Null	Plate_3	-0.22633547	0.9918145
F12	18	647	Null	Plate_3	-1.0327169	1.1018119
D11	23	216	Null	Plate_3	-0.5664759	3.277221
D8	8	681	HET	Plate_3	-1.1468911	1.6060969
D4	4	636	WT	Plate_3	-3.3484073	2.7559834
D3	21	168	WT	Plate_3_prime	0.8260204	4.9023857
B2	5	139	WT	Plate_3	1.2414953	4.5945582
C12	23	570	Null	Plate_3	-3.1288793	3.234575
F12	19	125	Null	Plate_3_prime	-1.0791416	1.4188236
F4	24	438	WT	Plate_3	0.4797148	5.620427
B10	6	155	Null	Plate_5	0.088023715	2.2899919
B8	12	797	HET	Plate_3	-0.6969595	3.3443031
E12	19	328	Null	Plate_3_prime	1.5731931	-1.8290607
B4	10	559	WT	Plate_3	-0.15718727	0.12624766
F12	23	647	Null	Plate_3	-1.1145859	5.648151
D7	25	76	HET	Plate_3_prime	0.07116077	3.175687
C12	16	119	Null	Plate_5	3.181035	3.7792544
F4	10	284	WT	Plate_3_prime	-4.5551596	-0.53879505
F3	10	185	WT	Plate_3	2.5563262	4.8396506
G11	23	142	Null	Plate_3_prime	0.078052804	3.0684001
E8	16	705	HET	Plate_3	1.4934528	1.3234082
D10	20	157	Null	Plate_5	2.7551758	4.8727236
G12	25	187	Null	Plate_3_prime	-1.8213836	4.268557
F8	15	557	HET	Plate_3	-0.30174363	1.7407974
G12	5	481	Null	Plate_3	0.09867464	6.0606146
D6	9	126	HET	Plate_3	-0.44154853	4.1520066
C3	20	138	WT	Plate_3_prime	0.5996278	0.5457696
B12	24	531	Null	Plate_3	-1.6506128	4.596574
E3	24	168	WT	Plate_3	-0.22158152	5.4342327
C10	25	136	Null	Plate_3	-1.6628299	3.6914663
G2	6	94	WT	Plate_3_prime	-0.051842522	4.596089
B5	3	98	HET	Plate_3	2.4499319	1.7232053
B7	8	78	HET	Plate_5	0.8310909	2.9604125
C12	14	321	Null	Plate_3_prime	-0.5988771	0.5390015
G5	6	66	HET	Plate_3_prime	-1.6019515	2.3730135
E8	12	705	HET	Plate_3	-0.3887495	1.5586982
D12	14	623	Null	Plate_3	-1.6634502	2.9210188
C3	11	117	WT	Plate_5	-0.9361785	3.4349587
E10	11	132	Null	Plate_5	-0.80618215	1.976754
C1	4	67	WT	Plate_3	2.1106849	4.674974
F7	15	387	HET	Plate_3	-0.9145203	1.7210183
C9	19	61	Null	Plate_3	0.7815552	3.9877279
G4	10	100	WT	Plate_5	2.0871794	1.5709321
C11	19	154	Null	Plate_5	0.63211644	0.95536035
E8	8	705	HET	Plate_3	-5.5996957	2.097396
