Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
C10	8	90	WT	Plate_4	12.341585	5.4582214
F5	14	140	WT	Plate_4	12.598223	7.6829123
G6	6	114	WT	Plate_4	13.784643	7.821534
C8	23	96	Null	Plate_4	12.538455	7.083006
B3	10	133	WT	Plate_4	14.721724	4.9097633
C5	25	111	Null	Plate_4	14.570663	2.5775716
G2	2	159	WT	Plate_4	15.676954	4.141181
C8	15	96	Null	Plate_4	14.4139385	4.268448
G8	17	126	WT	Plate_4	14.295744	7.214655
C5	24	111	Null	Plate_4	12.06719	6.2449327
F7	7	157	WT	Plate_4	14.982864	5.461525
F5	3	140	WT	Plate_4	13.728655	6.1493597
B10	20	83	WT	Plate_4	15.131446	3.0411303
G5	20	133	WT	Plate_4	12.759626	5.7253194
C2	13	140	Null	Plate_4	12.4164295	6.017215
F7	2	157	WT	Plate_4	12.922615	3.4533286
G3	19	150	WT	Plate_4	14.876848	5.685969
G10	18	121	WT	Plate_4	13.788975	3.5664444
D4	15	144	WT	Plate_4	12.903459	5.817658
E8	2	131	WT	Plate_4	14.851215	3.5407434
E4	17	192	WT	Plate_4	12.556569	7.546325
B4	1	97	WT	Plate_4	13.737718	6.564461
B3	13	133	WT	Plate_4	14.089404	2.931937
D3	19	144	WT	Plate_4	14.935297	2.5528038
B8	21	125	WT	Plate_4	12.80005	5.7386403
D3	23	144	WT	Plate_4	15.811429	4.9476633
E7	13	142	WT	Plate_4	13.599693	5.982702
E6	12	124	WT	Plate_4	13.392997	5.293129
G6	19	114	WT	Plate_4	14.41759	5.7763805
G3	6	150	WT	Plate_4	12.652453	3.5740907
G8	10	126	WT	Plate_4	15.507517	6.2209396
E6	18	124	WT	Plate_4	13.102409	3.284684
C11	13	95	WT	Plate_4	11.307744	4.1325593
E11	22	145	WT	Plate_4	12.815443	5.1561527
G4	7	176	WT	Plate_4	12.05633	6.836401
B5	22	124	WT	Plate_4	14.766811	3.6225727
G6	23	114	WT	Plate_4	11.284976	2.1206071
F8	10	170	WT	Plate_4	14.992757	6.688631
D10	14	103	WT	Plate_4	14.045066	2.760124
E2	21	113	WT	Plate_4	12.510175	8.01144
C6	20	67	WT	Plate_4	14.610328	5.5195794
E10	4	88	WT	Plate_4	14.207899	2.2969148
B2	21	111	WT	Plate_4	14.3613825	3.6242547
F9	3	149	WT	Plate_4	11.767269	7.8951254
C2	11	140	Null	Plate_4	15.019656	5.108496
B11	17	101	WT	Plate_4	13.946126	7.4114904
D5	25	90	Null	Plate_4	14.719678	5.763119
G5	13	133	WT	Plate_4	15.761191	4.9990764
D4	14	144	WT	Plate_4	14.747697	2.9514513
E4	5	192	WT	Plate_4	14.047485	2.2407348
B6	6	102	WT	Plate_4	12.931874	4.3148394
C7	17	98	WT	Plate_4	12.103927	6.31218
F10	1	154	WT	Plate_4	13.91695	4.978972
G2	4	159	WT	Plate_4	12.266907	7.900997
C8	9	96	Null	Plate_4	11.183823	2.000238
G7	24	146	WT	Plate_4	13.468289	7.5369773
F3	15	117	WT	Plate_4	13.365122	7.8219104
D7	10	125	WT	Plate_4	13.23867	5.997903
E5	22	136	WT	Plate_4	9.728332	3.06451
G3	10	150	WT	Plate_4	15.661081	5.3900394
C10	23	90	WT	Plate_4	12.335982	7.2074666
C3	3	112	WT	Plate_4	13.87584	1.9126244
G7	2	146	WT	Plate_4	12.784266	7.030523
B4	2	97	WT	Plate_4	11.098123	6.656526
G2	3	159	WT	Plate_4	15.31317	5.558785
D6	2	126	WT	Plate_4	14.496827	4.968675
B4	1	97	WT	Plate_4	11.134014	2.2984984
D7	7	125	WT	Plate_4	14.114964	4.6314588
C3	22	112	WT	Plate_4	14.350435	5.8644276
E5	22	136	WT	Plate_4	12.152971	3.4401736
G9	15	148	WT	Plate_4	14.019691	5.2086296
G11	9	118	Null	Plate_4	15.233679	4.79624
G6	5	114	WT	Plate_4	11.383504	4.506688
G10	9	121	WT	Plate_4	13.512627	7.5806823
G5	23	133	WT	Plate_4	15.515568	5.591517
C6	19	67	WT	Plate_4	12.494177	2.542093
F7	16	157	WT	Plate_4	9.64627	3.1002467
F5	22	140	WT	Plate_4	12.896868	5.334231
F3	2	117	WT	Plate_4	11.573234	4.329108
G6	8	114	WT	Plate_4	12.158833	7.0515156
E4	2	192	WT	Plate_4	13.737165	8.10871
G4	5	176	WT	Plate_4	10.741803	4.26362
G9	17	148	WT	Plate_4	15.715843	4.44708
G6	12	114	WT	Plate_4	13.1295395	2.2112446
D4	7	144	WT	Plate_4	13.239868	6.5639815
G4	20	176	WT	Plate_4	14.374481	4.9947224
F3	1	117	WT	Plate_4	13.070715	4.9391193
B9	4	132	WT	Plate_4	14.344093	5.5773325
E10	2	88	WT	Plate_4	11.735883	4.3942204
E6	12	124	WT	Plate_4	10.707653	4.0995803
D4	11	144	WT	Plate_4	9.964021	3.6090648
G4	17	176	WT	Plate_4	13.402011	5.517085
E8	18	131	WT	Plate_4	13.219591	1.9328331
G11	21	118	Null	Plate_4	11.562668	4.812352
G7	14	146	WT	Plate_4	15.504027	3.765095
C10	25	90	WT	Plate_4	11.623931	3.0496883
B2	7	111	WT	Plate_4	11.187983	1.9212943
G9	23	148	WT	Plate_4	15.748328	5.5920134
C4	23	102	WT	Plate_4	11.365417	6.1518164
G9	13	148	WT	Plate_4	14.849565	6.4152675
G8	1	126	WT	Plate_4	11.152361	1.8756288
D4	16	144	WT	Plate_4	14.01137	6.658981
D8	10	96	Null	Plate_4	13.458731	6.908413
E4	20	192	WT	Plate_4	13.160154	7.2311435
F4	19	127	WT	Plate_4	14.503789	3.8763437
F8	4	170	WT	Plate_4	12.721939	7.6443887
F3	18	117	WT	Plate_4	15.865767	4.957864
E7	21	142	WT	Plate_4	11.039822	5.2830324
G7	11	146	WT	Plate_4	13.845928	2.9218955
F8	8	170	WT	Plate_4	13.785372	7.6312327
E2	17	113	WT	Plate_4	14.149741	3.008678
G7	17	146	WT	Plate_4	13.732514	7.4562855
D4	6	144	WT	Plate_4	11.801975	5.826421
D11	9	138	WT	Plate_4	12.263719	4.1452775
D6	21	126	WT	Plate_4	12.8053875	5.7752895
G3	2	150	WT	Plate_4	14.9582405	4.6172543
B10	6	83	WT	Plate_4	11.864445	5.4187484
C11	11	95	WT	Plate_4	14.478435	4.706661
F10	24	154	WT	Plate_4	13.630715	7.84409
D4	2	144	WT	Plate_4	10.088212	8.685185
B2	20	111	WT	Plate_4	13.566073	1.7925209
F9	7	149	WT	Plate_4	15.427427	4.8565946
C5	14	111	Null	Plate_4	13.533131	3.9755151
B7	1	124	WT	Plate_4	14.557392	5.6559997
G6	6	114	WT	Plate_4	14.260342	3.3540418
F6	13	139	WT	Plate_4	13.1860075	5.428953
C9	15	91	WT	Plate_4	14.329504	2.103238
C2	4	140	Null	Plate_4	11.384895	3.5824175
B7	20	124	WT	Plate_4	14.259086	2.2153578
D2	15	69	Null	Plate_4	14.406777	6.8885202
F2	14	136	WT	Plate_4	13.913149	4.7583394
G2	13	159	WT	Plate_4	14.430915	4.2823844
C2	14	140	Null	Plate_4	12.583636	7.8397036
D2	13	69	Null	Plate_4	10.771879	4.6584735
C2	6	140	Null	Plate_4	13.264454	5.3318014
G9	24	148	WT	Plate_4	15.700558	3.4816532
E8	5	131	WT	Plate_4	12.838999	3.4300206
G8	10	126	WT	Plate_4	11.89662	6.2228303
G6	24	114	WT	Plate_4	15.585773	4.191512
F10	10	154	WT	Plate_4	10.639001	4.2329035
B10	12	83	WT	Plate_4	13.612233	4.8560343
E9	9	113	WT	Plate_4	11.712533	6.44457
D9	18	97	WT	Plate_4	12.38347	5.949696
E7	18	142	WT	Plate_4	12.825209	7.19077
C11	18	95	WT	Plate_4	14.394424	4.7449894
G11	13	118	Null	Plate_4	11.994344	4.32414
G2	13	159	WT	Plate_4	14.808443	4.2022285
F7	3	157	WT	Plate_4	13.925073	2.9877257
C3	15	112	WT	Plate_4	13.577692	3.554766
B4	1	97	WT	Plate_4	12.713594	7.2091336
E3	11	124	WT	Plate_4	12.990113	2.5130973
G2	1	159	WT	Plate_4	14.223664	2.395261
D4	7	144	WT	Plate_4	11.687231	4.534598
F2	9	136	WT	Plate_4	15.293874	5.154197
F7	24	157	WT	Plate_4	15.42317	4.933062
F11	12	114	Null	Plate_4	14.571431	5.4805346
C5	22	111	Null	Plate_4	14.736123	4.499098
G10	18	121	WT	Plate_4	13.560296	1.8559018
E8	18	131	WT	Plate_4	11.276678	6.809439
D11	24	138	WT	Plate_4	14.921508	4.291887
E3	12	124	WT	Plate_4	12.685133	4.9769835
E9	17	113	WT	Plate_4	11.237246	5.4931946
G4	8	176	WT	Plate_4	15.776951	4.645262
C6	21	67	WT	Plate_4	13.9148445	5.170085
F9	15	149	WT	Plate_4	10.425387	3.8034286
C4	15	102	WT	Plate_4	14.129099	5.472882
B5	5	124	WT	Plate_4	11.43072	4.577946
E8	24	131	WT	Plate_4	14.335164	7.480783
F6	1	139	WT	Plate_4	13.928821	3.0541575
C7	22	98	WT	Plate_4	11.366141	7.431337
F6	22	139	WT	Plate_4	11.65675	7.1844254
F6	10	139	WT	Plate_4	13.110674	5.1864805
G3	3	150	WT	Plate_4	9.7385435	3.4807503
G10	17	121	WT	Plate_4	12.629247	7.4723535
G5	5	133	WT	Plate_4	12.549764	7.6533203
C3	21	112	WT	Plate_4	11.839268	5.336361
B4	16	97	WT	Plate_4	13.4367285	2.9910963
E6	16	124	WT	Plate_4	14.428421	4.1228065
F8	16	170	WT	Plate_4	14.730067	4.378487
D9	2	97	WT	Plate_4	11.839522	4.3270407
D9	10	97	WT	Plate_4	13.151128	2.8242123
G3	23	150	WT	Plate_4	14.268859	4.6065936
C8	19	96	Null	Plate_4	15.388593	4.0859184
G2	9	159	WT	Plate_4	12.477215	6.996604
F5	23	140	WT	Plate_4	13.0407915	7.8175783
G9	11	148	WT	Plate_4	13.066284	8.29587
G3	14	150	WT	Plate_4	15.489478	5.7131395
E6	18	124	WT	Plate_4	11.432189	3.0268984
E7	13	142	WT	Plate_4	13.877381	3.5228946
B4	21	97	WT	Plate_4	15.387817	4.5353713
B6	24	102	WT	Plate_4	13.037972	4.2492776
E2	3	113	WT	Plate_4	12.229173	4.7742352
G6	22	114	WT	Plate_4	11.406221	6.323962
E7	10	142	WT	Plate_4	10.329866	4.911321
C7	6	98	WT	Plate_4	11.281964	2.6115317
G3	13	150	WT	Plate_4	14.606961	7.186793
F11	7	114	Null	Plate_4	13.4988785	1.9766043
F4	1	127	WT	Plate_4	12.280431	5.8949175
E6	4	124	WT	Plate_4	11.419412	4.648536
C2	21	140	Null	Plate_4	13.484384	6.207153
F10	16	154	WT	Plate_4	15.847459	5.0122137
E9	4	113	WT	Plate_4	12.842861	7.0707326
C9	10	91	WT	Plate_4	11.805244	3.8353832
B11	6	101	WT	Plate_4	14.2876835	3.6113071
F6	9	139	WT	Plate_4	15.055416	4.080884
D9	25	97	WT	Plate_4	15.422302	3.9455907
G9	8	148	WT	Plate_4	14.949381	7.0612445
F3	16	117	WT	Plate_4	13.588979	4.2187734
C9	13	91	WT	Plate_4	14.042197	3.420358
B2	16	111	WT	Plate_4	15.15881	4.679675
F5	15	140	WT	Plate_4	14.189927	5.5107265
B9	19	132	WT	Plate_4	15.792187	3.57847
F10	13	154	WT	Plate_4	12.398237	7.774907
C6	3	67	WT	Plate_4	11.171339	4.135717
B2	21	111	WT	Plate_4	12.979305	4.615427
C9	6	91	WT	Plate_4	12.169099	3.5536063
C2	18	140	Null	Plate_4	13.566632	4.5672345
C9	6	91	WT	Plate_4	11.446118	4.5494576
F5	17	140	WT	Plate_4	13.987292	7.312167
