Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
D1	17	47	WT	4.46221	-0.30720347
G10	22	72	Null	3.1225607	-0.921093
E12	15	328	Null	2.8553267	-3.3636248
E2	11	60	WT	4.731361	-0.85516953
D1	22	47	WT	4.126153	-0.8277555
G4	4	388	WT	1.4986361	-3.5872808
G11	18	142	Null	0.35679224	-2.0662434
D3	21	168	WT	4.6296678	-2.8654408
C3	18	138	WT	3.6164582	-2.4628892
D2	25	44	WT	2.756997	0.41141617
C4	25	127	WT	5.042984	-3.805667
C5	7	29	HET	5.4265447	-2.0123174
E10	19	74	Null	2.3867779	0.25396115
G3	3	248	WT	1.3827142	-3.1954198
G4	9	388	WT	3.1944706	-2.7424936
E4	19	246	WT	5.322604	-4.0104837
C3	10	138	WT	1.0259718	-2.1153336
G12	20	187	Null	3.0897965	-4.1216536
D4	4	358	WT	0.49615797	-5.052567
E3	2	156	WT	0.10249725	-3.8983388
F3	4	174	WT	5.1337366	-2.4654794
D4	12	358	WT	4.8600807	-3.881623
F6	11	117	HET	2.9734674	-1.1591749
G12	14	187	Null	1.6218504	-3.544525
F4	4	284	WT	4.8728805	-3.4582796
B4	14	219	WT	3.0728123	-3.573076
D4	7	358	WT	2.6699495	-5.2080936
F6	10	117	HET	3.7882433	-0.0004446218
F4	10	284	WT	2.9732606	-4.140267
E12	20	328	Null	3.5743332	-4.131299
B3	25	77	WT	0.28097144	-3.9056215
E12	5	328	Null	0.7679451	-4.0721817
B1	17	30	WT	3.8060308	-0.22999112
G12	8	187	Null	4.657544	-2.61919
C10	12	45	Null	3.9467454	0.7377089
G7	7	82	HET	0.092359	-2.8131452
B8	25	107	HET	4.2484455	-3.5274923
B5	15	45	HET	2.8529592	-0.063062124
G8	25	358	HET	3.528855	-3.9060156
F11	13	100	Null	0.76977557	-1.2640057
F11	7	100	Null	2.2422888	-1.920016
E12	5	328	Null	4.205374	-4.3421354
G3	5	248	WT	2.681536	-3.3099935
D12	20	193	Null	2.8581257	-4.421603
B4	15	219	WT	3.2790298	-3.9304698
F2	12	91	WT	4.3555846	-0.017413447
G8	14	358	HET	0.8594951	-4.1598725
C5	9	29	HET	4.949695	-0.24987227
E12	5	328	Null	4.4818	-4.055873
G4	17	388	WT	-0.4341852	-0.1367288
G8	17	358	HET	4.0891056	-3.9821901
D3	10	168	WT	0.49276215	-5.2587366
C12	13	321	Null	4.3264866	-3.2020817
F12	25	125	Null	2.9219847	-3.7176836
B10	16	49	Null	4.8104963	-1.262674
B3	20	77	WT	0.30117977	-4.924501
G8	23	358	HET	5.6086893	-2.4441311
C10	24	45	Null	2.2268536	0.31784105
F3	10	174	WT	2.7568262	-4.4408402
D1	25	47	WT	4.766312	-0.28065583
D10	22	51	Null	2.4977512	-0.6748787
F10	20	66	Null	0.85414773	0.37612855
C4	23	127	WT	4.4915524	-4.036188
E11	20	59	Null	3.7784755	-2.9686432
G3	12	248	WT	4.9697022	-2.5088854
G11	4	142	Null	-0.080894	0.062761575
D12	5	193	Null	2.0407023	-3.5166812
G8	13	358	HET	1.6921455	-2.0726893
F9	20	36	Null	3.5749428	0.47195855
B6	16	104	HET	3.3498073	0.11634222
G8	23	358	HET	0.30896097	-2.5445745
G9	24	44	Null	2.2967143	-0.37715122
G7	15	82	HET	0.7934057	-1.2652647
E3	15	156	WT	3.9399228	-2.1979954
G11	10	142	Null	0.09124375	-2.3463552
C6	14	98	HET	3.5808442	-0.70870954
F3	3	174	WT	2.976513	-2.6498322
B5	6	45	HET	3.2443793	0.7058345
D4	15	358	WT	4.4602118	-4.5035477
F4	25	284	WT	1.9788172	-5.2354307
B10	7	49	Null	3.3812408	-1.1860964
G3	5	248	WT	2.5924015	-4.6922183
G12	13	187	Null	0.81348175	-3.293894
G7	9	82	HET	1.1336198	-2.9731042
F4	20	284	WT	3.261444	-3.551953
C12	12	321	Null	3.88121	-2.9409125
