Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_3	6	B12	Null	531	0.2643176	-0.5519927
Plate_3	25	B10	Null	86	2.3431761	-1.3177907
Plate_3	2	F3	WT	185	2.1945047	-0.5752513
Plate_5	7	B9	Null	173	2.1837811	1.2452736
Plate_5	15	G2	WT	125	3.4413948	-1.0636064
Plate_3	20	F11	Null	329	2.6949656	1.1903845
Plate_5	20	G12	Null	121	0.7109306	0.19492407
Plate_3	12	B3	WT	297	0.99801016	0.24329686
Plate_3_prime	5	G10	Null	72	1.883284	-1.2123309
Plate_3_prime	22	C4	WT	127	1.0847495	2.678258
Plate_3	25	C12	Null	570	1.7508466	2.0685549
Plate_3	18	D12	Null	623	4.0874815	-1.8833345
Plate_3_prime	18	C3	WT	138	1.5183048	-3.104764
Plate_5	20	D4	WT	102	1.2341753	0.8691027
Plate_3	5	B12	Null	531	1.8239961	2.107714
Plate_3	12	F3	WT	185	0.7082566	2.1786118
Plate_5	21	E4	WT	86	0.26552418	1.9132236
Plate_3	2	E3	WT	168	2.2863164	-0.10512406
Plate_3	10	D12	Null	623	2.2930033	-2.1316302
Plate_3	10	D4	WT	636	2.0198982	2.4355206
Plate_3_prime	5	F10	Null	66	0.21524626	0.20861387
Plate_5	21	E3	WT	122	-1.0145487	-1.2519164
Plate_5	12	D11	Null	178	1.9740897	-3.2510307
Plate_3	17	D4	WT	636	1.525008	-1.6118433
Plate_3	11	E10	Null	118	-0.052060347	1.5065032
Plate_3_prime	21	E9	Null	26	0.28275493	-2.2954824
Plate_3_prime	24	D4	WT	358	2.5942073	2.04067
Plate_3_prime	5	F4	WT	284	5.657443	0.98823446
Plate_5	13	F9	Null	149	2.8326204	1.4573467
Plate_3	4	F4	WT	438	2.76692	-1.7321814
Plate_3_prime	12	C2	WT	42	1.7413204	2.506052
Plate_5	3	E12	Null	115	0.22071368	-1.4572188
Plate_5	4	C9	Null	156	0.827282	1.9793134
Plate_3	5	F11	Null	329	0.08595197	-1.3570544
Plate_3	12	F10	Null	150	0.07967379	0.3124545
Plate_3	10	B12	Null	531	3.511206	0.26420215
Plate_3_prime	12	G4	WT	388	1.7350433	2.209493
Plate_3	7	C12	Null	570	1.8916245	1.2682966
Plate_5	5	E1	WT	101	-0.07833383	1.3674954
Plate_3	7	B4	WT	559	-0.23551391	-1.0692353
Plate_3_prime	5	F11	Null	100	-0.4927473	-1.0829492
Plate_3	4	E10	Null	118	2.1996846	-3.2764542
Plate_3	3	G12	Null	481	1.985695	-1.2429725
Plate_3	13	F10	Null	150	0.9493223	1.55426
Plate_3	10	F12	Null	647	1.9543658	1.3433733
Plate_5	6	E3	WT	122	1.5695435	1.5321368
Plate_5	5	E9	Null	120	0.35485616	1.6627351
Plate_5	12	F3	WT	92	1.9626622	1.6078596
Plate_3	14	F12	Null	647	1.9386605	-1.8798505
Plate_3_prime	10	G3	WT	248	2.3035543	-1.7116063
Plate_3	17	D4	WT	636	-0.8271424	-1.33408
Plate_3	15	C12	Null	570	2.6497211	1.5290512
Plate_3	5	G11	Null	250	1.3458687	-3.4445295
Plate_5	18	E11	Null	185	2.4948423	-3.0484216
Plate_5	21	C9	Null	156	1.9540055	-3.60903
Plate_3_prime	8	G11	Null	142	0.109348424	-0.18836497
Plate_3	12	B4	WT	559	2.3904493	-3.3633075
Plate_3_prime	9	C12	Null	321	3.2958598	-1.3539495
Plate_3_prime	20	B4	WT	219	2.2370133	-3.4579532
Plate_5	2	E9	Null	120	2.9177432	-3.0762177
Plate_3	25	G11	Null	250	1.1524915	0.78915983
Plate_3	4	D12	Null	623	3.9339764	-0.14090893
Plate_3	22	B4	WT	559	4.0086365	-1.0284055
Plate_5	9	D3	WT	128	1.7942482	-0.62609875
Plate_3	19	F10	Null	150	1.196267	-3.6328008
Plate_3	13	D2	WT	152	3.212357	-0.24773267
