Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E8	24	215	WT	Plate_6	1.6611958	2.4585793
E8	21	215	WT	Plate_6	2.5581725	1.0474912
B7	28	102	WT	Plate_6	10.680009	2.4339304
G5	22	131	Null	Plate_6	2.5625377	-0.52370495
D6	5	54	Null	Plate_6	8.027702	2.8829155
D3	30	55	Null	Plate_6	9.782081	3.5130842
D2	19	53	Null	Plate_6	8.13902	3.0625012
D9	19	74	Null	Plate_6	9.656966	1.5423179
E3	7	161	WT	Plate_6	3.3371027	2.6483948
G6	21	133	Null	Plate_6	1.558026	-0.22957848
G10	2	88	Null	Plate_6	2.4666533	0.28877768
D7	36	68	Null	Plate_6	8.935264	1.3686086
G3	1	123	Null	Plate_6	1.546579	-0.13389096
G2	10	114	Null	Plate_6	4.184824	-0.29389182
B3	18	116	WT	Plate_6	10.784736	1.8793247
B2	25	129	WT	Plate_6	9.681904	3.8482568
G6	29	133	Null	Plate_6	4.9305305	-0.37160963
G2	25	114	Null	Plate_6	1.3397199	-0.4558437
B2	11	129	WT	Plate_6	10.263284	1.57263
E5	12	172	WT	Plate_6	4.8222494	2.0843265
E6	25	144	WT	Plate_6	2.5536952	2.050144
D4	13	40	Null	Plate_6	9.215517	2.7237942
D10	2	59	Null	Plate_6	8.891582	2.353111
E4	15	131	WT	Plate_6	3.553245	1.205846
E11	16	232	WT	Plate_6	2.8159423	-1.4533471
G5	18	131	Null	Plate_6	2.2662828	-1.0726839
B5	1	91	WT	Plate_6	9.313658	3.1389496
E4	8	131	WT	Plate_6	5.6885114	2.2534444
B7	32	102	WT	Plate_6	8.347658	1.6230749
D6	10	54	Null	Plate_6	1.8186709	-0.24136472
B2	7	129	WT	Plate_6	9.913756	3.4959514
E10	21	224	WT	Plate_6	4.457361	-0.029850496
G5	29	131	Null	Plate_6	5.3464923	-0.9365399
E2	22	141	WT	Plate_6	5.7124057	0.12740856
E6	7	144	WT	Plate_6	5.0731072	2.1249347
B9	16	135	WT	Plate_6	10.532541	1.387977
D3	22	55	Null	Plate_6	8.220321	2.045849
G6	20	133	Null	Plate_6	2.1431885	0.11042625
B2	9	129	WT	Plate_6	10.099079	2.6475098
G7	6	128	Null	Plate_6	4.5570006	-1.5954418
G9	19	87	Null	Plate_6	3.6802442	-1.4200641
B11	24	122	WT	Plate_6	9.985787	3.6502757
