Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
G12	10	187	Null	Plate_3_prime	-2.8250012	-0.6828228
G11	17	142	Null	Plate_3_prime	-4.0644836	0.16197272
B12	14	200	Null	Plate_3_prime	-5.6746264	2.3344607
C10	6	44	Null	Plate_3_prime	-6.1566734	-2.5862086
B12	24	200	Null	Plate_3_prime	-5.6969905	2.1651158
F2	16	91	WT	Plate_3_prime	-5.123299	0.85729176
E2	22	59	WT	Plate_3_prime	-4.1665673	-2.6933718
C4	19	127	WT	Plate_3_prime	-5.433243	2.4991856
E12	13	328	Null	Plate_3_prime	-6.7091074	1.7316768
B10	6	49	Null	Plate_3_prime	-4.5882916	-2.8690856
F10	14	63	Null	Plate_3_prime	-3.513245	-2.5139744
C10	21	44	Null	Plate_3_prime	-5.0643754	-2.5890095
B4	18	219	WT	Plate_3_prime	-2.9529257	0.052431412
C4	19	127	WT	Plate_3_prime	-4.5539427	2.5964625
F4	22	284	WT	Plate_3_prime	-3.41386	1.3962926
B2	13	55	WT	Plate_3_prime	-2.3453248	-2.163417
F2	9	91	WT	Plate_3_prime	-6.085961	-2.8370967
E3	17	155	WT	Plate_3_prime	-6.842437	-0.29972377
C12	17	321	Null	Plate_3_prime	-4.5423775	2.7458851
F12	18	125	Null	Plate_3_prime	-2.4602978	-1.9254667
E10	11	72	Null	Plate_3_prime	-4.2890253	-2.0978136
G12	14	187	Null	Plate_3_prime	-2.3475752	-1.1590695
C4	20	127	WT	Plate_3_prime	-4.843688	2.0343788
D9	21	16	Null	Plate_3_prime	-3.8331513	-1.4018652
E3	8	155	WT	Plate_3_prime	-4.878005	-0.12164284
D11	8	100	Null	Plate_3_prime	-4.7478623	0.97539353
G12	14	187	Null	Plate_3_prime	-5.8228097	0.90505743
C12	13	321	Null	Plate_3_prime	-3.0764308	2.2322295
E12	25	328	Null	Plate_3_prime	-3.9018197	3.5116525
G3	23	248	WT	Plate_3_prime	-5.492377	1.1175631
B11	24	53	Null	Plate_3_prime	-5.7043214	1.4187346
G3	24	248	WT	Plate_3_prime	-7.790702	0.6470751
G4	15	388	WT	Plate_3_prime	-6.294584	0.58957684
E12	15	328	Null	Plate_3_prime	-4.065882	3.7280123
F4	4	284	WT	Plate_3_prime	-4.3296533	0.3075949
C3	10	137	WT	Plate_3_prime	-5.0540595	1.136553
B11	5	53	Null	Plate_3_prime	-6.438123	-0.35790962
D12	4	193	Null	Plate_3_prime	-4.291514	3.4197798
E12	23	328	Null	Plate_3_prime	-5.520838	2.1033494
G4	24	388	WT	Plate_3_prime	-7.669414	0.68008244
E12	20	328	Null	Plate_3_prime	-6.48499	2.8663545
D4	3	358	WT	Plate_3_prime	-6.3214426	0.6221358
D4	18	358	WT	Plate_3_prime	-4.991186	2.972421
E4	19	246	WT	Plate_3_prime	-4.5828495	2.0591233
E12	12	328	Null	Plate_3_prime	-6.234543	1.1990552
E9	13	21	Null	Plate_3_prime	-5.1146193	-1.9460264
F11	17	100	Null	Plate_3_prime	-3.798235	-1.0234032
E12	4	328	Null	Plate_3_prime	-3.8193924	-0.26889518
E9	6	21	Null	Plate_3_prime	-5.7679195	-2.3843036
E4	15	246	WT	Plate_3_prime	-2.771022	-0.2889763
G11	17	142	Null	Plate_3_prime	-3.892832	-1.1373924
G11	18	142	Null	Plate_3_prime	-4.961539	0.76610416
G4	17	388	WT	Plate_3_prime	-5.7138557	1.6806632
C12	19	321	Null	Plate_3_prime	-5.649564	3.5976307
E3	9	155	WT	Plate_3_prime	-7.2793446	1.3668914
G12	9	187	Null	Plate_3_prime	-6.9673586	3.1358414
E12	9	328	Null	Plate_3_prime	-4.9016514	-0.16932222
D10	22	50	Null	Plate_3_prime	-4.3195324	-2.2781658
B12	18	200	Null	Plate_3_prime	-5.152812	2.5458755
C12	18	321	Null	Plate_3_prime	-4.076624	1.8409854
G3	13	248	WT	Plate_3_prime	-4.344565	1.4059299
D4	8	358	WT	Plate_3_prime	-4.185771	0.91500664
D4	12	358	WT	Plate_3_prime	-3.546711	1.4204514
F4	20	284	WT	Plate_3_prime	-3.2966213	1.5181625
B12	24	200	Null	Plate_3_prime	-3.8332984	2.428765
D12	9	193	Null	Plate_3_prime	-4.4032454	2.3310537
B3	14	76	WT	Plate_3_prime	-3.489345	-0.0010457385
G3	17	248	WT	Plate_3_prime	-5.124166	1.7904277
D4	23	358	WT	Plate_3_prime	-4.5394464	1.8606312
E12	10	328	Null	Plate_3_prime	-3.0005553	-0.85068333
D4	13	358	WT	Plate_3_prime	-6.661096	1.3909918
B4	13	219	WT	Plate_3_prime	-5.864892	-1.275125
D2	25	42	WT	Plate_3_prime	-5.2029414	-3.0843132
G4	17	388	WT	Plate_3_prime	-5.5885644	1.8506833
E2	25	59	WT	Plate_3_prime	-4.9621067	-2.6603968
D4	9	358	WT	Plate_3_prime	-5.5523267	1.6981066
B12	24	200	Null	Plate_3_prime	-7.334563	0.4299139
B12	25	200	Null	Plate_3_prime	-6.5208144	1.5870162
F12	22	125	Null	Plate_3_prime	-5.3038015	3.685384
C12	2	321	Null	Plate_3_prime	-5.7377267	2.2259598
B10	7	49	Null	Plate_3_prime	-4.939729	-2.659865
B4	20	219	WT	Plate_3_prime	-4.397403	2.9789588
C12	10	321	Null	Plate_3_prime	-4.9350677	0.83175725
G4	23	388	WT	Plate_3_prime	-2.9467306	-0.76284504
F3	21	174	WT	Plate_3_prime	-4.533424	0.38993022
G4	9	388	WT	Plate_3_prime	-5.2642603	2.77796
F4	14	284	WT	Plate_3_prime	-5.274225	-0.30182925
G11	16	142	Null	Plate_3_prime	-4.088981	-0.7694895
G4	7	388	WT	Plate_3_prime	-6.3993063	0.86253434
E1	11	17	WT	Plate_3_prime	-6.017598	-2.1869404
G10	16	72	Null	Plate_3_prime	-5.0268893	-1.8458894
C12	18	321	Null	Plate_3_prime	-3.7838001	2.8794684
E4	22	246	WT	Plate_3_prime	-4.319869	1.2071531
D4	7	358	WT	Plate_3_prime	-6.148777	1.54729
D12	20	193	Null	Plate_3_prime	-4.735726	3.0338376
C3	8	137	WT	Plate_3_prime	-5.0106373	-0.008075925
D4	10	358	WT	Plate_3_prime	-7.7609925	1.6830945
C12	14	321	Null	Plate_3_prime	-3.0750606	1.9570316
F3	20	174	WT	Plate_3_prime	-6.606016	0.38601696
C9	23	37	Null	Plate_3_prime	-5.917306	-1.1985593
E11	19	59	Null	Plate_3_prime	-5.1096907	0.12846875
D11	10	100	Null	Plate_3_prime	-6.0436063	0.6929346
F3	10	174	WT	Plate_3_prime	-6.668113	0.3661031
C12	2	321	Null	Plate_3_prime	-4.9082537	-1.374914
G4	5	388	WT	Plate_3_prime	-7.013794	2.3396883
G3	16	248	WT	Plate_3_prime	-4.8092923	0.45785627
F4	22	284	WT	Plate_3_prime	-5.602598	1.8689331
G11	25	142	Null	Plate_3_prime	-3.4935248	2.5573795
C3	24	137	WT	Plate_3_prime	-6.384348	3.9425366
G12	10	187	Null	Plate_3_prime	-7.6896486	1.1384544
B4	19	219	WT	Plate_3_prime	-5.9633727	1.3706203
D4	24	358	WT	Plate_3_prime	-7.902493	1.5931232
G3	13	248	WT	Plate_3_prime	-3.0533254	-0.63323915
G4	21	388	WT	Plate_3_prime	-5.98181	0.47001022
G4	19	388	WT	Plate_3_prime	-3.0976942	-1.2590239
E12	18	328	Null	Plate_3_prime	-4.955031	3.7328517
F12	23	125	Null	Plate_3_prime	-6.486255	0.38817546
G4	17	388	WT	Plate_3_prime	-6.6070237	1.5847297
G4	5	388	WT	Plate_3_prime	-4.255298	1.851712
G10	17	72	Null	Plate_3_prime	-5.8102965	-2.6379147
F4	4	284	WT	Plate_3_prime	-4.4326572	1.5616834
E3	2	155	WT	Plate_3_prime	-7.7173862	0.32081485
D12	20	193	Null	Plate_3_prime	-4.141008	2.7505953
C11	19	54	Null	Plate_3_prime	-4.8055387	0.38646516
G2	23	94	WT	Plate_3_prime	-5.826221	-3.131178
C12	9	321	Null	Plate_3_prime	-3.1852992	2.2938554
D4	23	358	WT	Plate_3_prime	-6.354456	3.7102537
F9	17	29	Null	Plate_3_prime	-4.898921	-2.1921618
G12	9	187	Null	Plate_3_prime	-3.6480572	0.5936107
B4	23	219	WT	Plate_3_prime	-2.721834	-1.5259929
F4	25	284	WT	Plate_3_prime	-5.197704	2.3610725
B4	5	219	WT	Plate_3_prime	-6.753911	5.781455
D4	8	358	WT	Plate_3_prime	-6.197738	0.3167516
E4	13	246	WT	Plate_3_prime	-3.8859653	0.7945135
F3	15	174	WT	Plate_3_prime	-4.331178	0.8956558
F2	12	91	WT	Plate_3_prime	-5.9230943	-2.4648669
F2	21	91	WT	Plate_3_prime	-4.9082355	-1.905664
D11	18	100	Null	Plate_3_prime	-5.421957	-0.37273923
G4	12	388	WT	Plate_3_prime	-6.6715603	4.407765
C1	21	28	WT	Plate_3_prime	-4.7817645	-0.15664546
B1	9	25	WT	Plate_3_prime	-5.4442534	-2.4825304
D12	9	193	Null	Plate_3_prime	-5.6954145	3.7761242
D10	12	50	Null	Plate_3_prime	-5.02763	-2.9907126
D3	15	168	WT	Plate_3_prime	-3.3831928	1.809088
E3	9	155	WT	Plate_3_prime	-4.2099447	1.9908782
G3	8	248	WT	Plate_3_prime	-4.0398617	-1.2950443
F4	8	284	WT	Plate_3_prime	-7.235225	1.3369799
C3	24	137	WT	Plate_3_prime	-3.091342	-0.23956294
F4	10	284	WT	Plate_3_prime	-8.974992	4.0073466
E4	23	246	WT	Plate_3_prime	-4.463702	1.9436514
G4	14	388	WT	Plate_3_prime	-6.493377	5.081464
C12	18	321	Null	Plate_3_prime	-6.0032463	2.4289224
F4	25	284	WT	Plate_3_prime	-4.1181617	1.378875
G11	8	142	Null	Plate_3_prime	-3.4874513	-1.1084169
E4	19	246	WT	Plate_3_prime	-4.3824005	0.9927913
G11	24	142	Null	Plate_3_prime	-4.2466555	1.7935553
G12	15	187	Null	Plate_3_prime	-6.1695795	0.9330727
G4	24	388	WT	Plate_3_prime	-4.536786	1.3832316
